Company,Location,Country,Date,Time,Rocket,Mission,RocketStatus,Price,MissionStatus
RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia", Russia,2/15/1991,15:19:00,Molniya-M /Block ML,Molniya-1 n†­147,Retired,0,Success
RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia", Russia,2/26/1991,4:53:00,Cosmos-3M (11K65M),Cosmos 2135,Retired,0,Success
Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France", France,3/2/1991,23:36:00,Ariane 44LP,"Astra 1B, Meteosat 5",Retired,0,Success
Martin Marietta,"SLC-4E, Vandenberg AFB, California, USA", USA,3/8/1991,12:03:00,Titan IV(403)A,Lacrosse,Retired,0,Success
Boeing,"SLC-17B, Cape Canaveral AFS, Florida, USA", USA,3/8/1991,23:03:00,Delta II 6925,Inmarsat-2 F2,Retired,0,Success
RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia", Russia,3/12/1991,19:29:00,Cosmos-3M (11K65M),Nadiezhda n†­6,Retired,0,Success
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia", Russia,3/19/1991,14:30:00,Cosmos-3M (11K65M),Cosmos 2137,Retired,0,Success
RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia", Russia,3/22/1991,12:19:00,Molniya-M /Block ML,Molniya-3 n†­148,Retired,0,Success
Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France", France,4/4/1991,23:33:00,Ariane 44P,Anik E2,Retired,0,Success
NASA,"LC-39B, Kennedy Space Center, Florida, USA", USA,4/5/1991,14:22:00,Space Shuttle Atlantis,STS-37,Retired,450000000,Success
Boeing,"SLC-17B, Cape Canaveral AFS, Florida, USA", USA,4/13/1991,0:09:00,Delta II 7925,ASC-2 (Spacenet F4),Retired,0,Success
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia", Russia,4/16/1991,7:21:00,Cosmos-3M (11K65M),Cosmos 2142,Retired,0,Success
General Dynamics,"SLC-36B, Cape Canaveral AFS, Florida, USA", USA,4/18/1991,23:30:00,Atlas I,Yuri 3H,Retired,0,Failure
RVSN USSR,"Site 32/2, Plesetsk Cosmodrome, Russia", Russia,4/24/1991,1:36:00,Tsyklon-3,Meteor-3 n†­4,Retired,0,Success
NASA,"LC-39A, Kennedy Space Center, Florida, USA", USA,4/28/1991,11:33:00,Space Shuttle Discovery,STS-39,Retired,450000000,Success
General Dynamics,"SLC-3W, Vandenberg AFB, California, USA", USA,5/14/1991,15:52:00,Atlas-E/F Star-37S-ISS,NOAA-D,Retired,0,Success
RVSN USSR,"Site 32/2, Plesetsk Cosmodrome, Russia", Russia,5/16/1991,21:40:00,Tsyklon-3,Cosmos 2143 to 2148,Retired,0,Success
Boeing,"SLC-17B, Cape Canaveral AFS, Florida, USA", USA,5/29/1991,22:55:00,Delta II 7925,Aurora 2,Retired,0,Success
RVSN USSR,"Site 32/2, Plesetsk Cosmodrome, Russia", Russia,6/4/1991,9:00:00,Tsyklon-3,Okean 3,Retired,0,Success
NASA,"LC-39B, Kennedy Space Center, Florida, USA", USA,6/5/1991,13:24:00,Space Shuttle Columbia,STS-40,Retired,450000000,Success
RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia", Russia,6/11/1991,5:42:00,Cosmos-3M (11K65M),Cosmos 2150,Retired,0,Success
RVSN USSR,"Site 32/2, Plesetsk Cosmodrome, Russia", Russia,6/13/1991,15:41:00,Tsyklon-3,Cosmos 2151,Retired,0,Success
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia", Russia,6/18/1991,9:09:00,Molniya-M /Block ML,Molniya-1 n†­149,Retired,0,Success
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia", Russia,6/25/1991,13:20:00,Cosmos-3M (11K65M),Ta??foun n†­59,Retired,0,Failure
Boeing,"SLC-17A, Cape Canaveral AFS, Florida, USA", USA,7/4/1991,2:32:00,Delta II 7925,USA-71 (GPS IIA-2),Retired,0,Success
Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France", France,7/17/1991,1:46:00,Ariane 40,"ERS-1, Oscar 22, Orbcomm-X, Tubsat-A, SARA",Retired,0,Success
Northrop,"NB-52B Carrier, Edwards AFB, California, USA", USA,7/21/1991,17:33:00,Pegasus/HAPS,7 Microsats,Retired,40000000,Partial Failure
RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia", Russia,8/1/1991,11:53:00,Molniya-M /Block ML,Molniya-1 n†­150,Retired,0,Success
NASA,"LC-39A, Kennedy Space Center, Florida, USA", USA,8/2/1991,15:02:00,Space Shuttle Atlantis,STS-43,Retired,450000000,Success
Arianespace,"ELA-2, Guiana Space Centre, French Guiana, France", France,8/14/1991,23:15:00,Ariane 44L,Intelsat 605,Retired,0,Success
RVSN USSR,"Site 32/2, Plesetsk Cosmodrome, Russia", Russia,8/15/1991,9:14:00,Tsyklon-3,Meteor-3 n†­5,Retired,0,Success
RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia", Russia,8/22/1991,12:35:00,Cosmos-3M (11K65M),Cosmos 2154,Retired,0,Success
MHI,"LA-Y1, Tanegashima Space Center, Japan", Japan,8/25/1991,8:40:00,H-I UM-129A (9SO),BS-3B,Retired,0,Success
MHI,"SLC-N, Tanegashima Space Center, Japan", Japan,8/25/1991,8:40:00,H-I (9 SO),BS-3B (Yuri-3B),Retired,0,Success
RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",Multinational,8/29/1991,6:48:00,Vostok-2M,IRS-1B,Retired,0,Success
ISAS,"Mu Pad, Uchinoura Space Center, Japan", Japan,8/30/1991,2:30:00,Mu-III S2,Yohkoh,Retired,0,Success
